Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
21,Cp6.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
22,Fp1.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
23,Fpz.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
24,Fp2.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
25,Af7.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
26,Af3.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
27,Afz.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
28,Af4.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
29,Af8.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
30,F7..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
31,F5..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
32,F3..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
33,F1..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
34,Fz..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
35,F2..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
36,F4..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
37,F6..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
38,F8..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
39,Ft7.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
40,Ft8.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
41,T7..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
42,T8..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
43,T9..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
44,T10.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
45,Tp7.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
46,Tp8.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
47,P7..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
48,P5..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
49,P3..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
50,P1..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
51,Pz..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
52,P2..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
53,P4..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
54,P6..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
55,P8..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
56,Po7.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
57,Po3.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
58,Poz.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
59,Po4.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
60,Po8.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
61,O1..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
62,Oz..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
63,O2..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
64,Iz..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
